INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES,IS_DH,DESIG_GROUP
164,KALMUNAI,AKKARAIPATTU BH,MO EYE,1,NO,MO Eye
165,KALMUNAI,AKKARAIPATTU BH,MO RADIOLOGY,1,NO,MO Radiology
176,KALMUNAI,SAMMANTHURAI BH,MO EYE,1,NO,MO Eye
177,KALMUNAI,SAMMANTHURAI BH,MO GYN & OBS,1,NO,MO GYN & OBS
178,KALMUNAI,SAMMANTHURA! MOH,AMOH,1,NO,AMOH
141,JAFFNA,CHAVAKACHCHERI BH,MO BLOOD BANK,1,NO,MO Blood Bank
142,JAFFNA,CHAVAKACHCHERI BH,MO ETU,1,NO,MO OPD / ETU
143,JAFFNA,GURUNAGAR DH,MO,1,YES,MO
144,JAFFNA,INUVIL PMCU,MOIC,1,NO,MOIC
145,JAFFNA,JAFFNA RDHS,MO STD,1,NO,MO STD
146,JAFFNA,JAFFNA TEACHING HOSPITAL,ANESTHESIA,1,NO,MO Anaesthesia / ICU
147,JAFFNA,JAFFNA TEACHING HOSPITAL,MO MEDICO LEGAL,1,NO,MO Medico Legal
148,JAFFNA,JAFFNA TEACHING HOSPITAL,MO ORTHOPAEDIC SURGERY,1,NO,MO Orthopaedic
149,JAFFNA,JAFFNA TEACHING HOSPITAL,SHO PAEDIATRICS,1,NO,SHO Paediatrics
152,JAFFNA,KODIKAMAM DH,MO,1,YES,MO
173,KALMUNAI,NINTAVUR BH,MO MEDICINE,1,NO,MO Medicine
182,KALUTARA,KALUTARA TEACHING HOSPITAL,MO GENITO URINARY,1,NO,MO Urology / GU
183,KALUTARA,KALUTARA TEACHING HOSPITAL,MO GASTROENTEROLOGY,1,NO,MO ENT
160,JAFFNA,TELLIPPALAI BH,MO MEDICINE,1,NO,MO Medicine
161,JAFFNA,TELLIPPALAI BH,MO PAEDIATRICS,1,NO,MO Paediatrics
162,JAFFNA,TELLIPPALAI MOH,AMOH.,1,NO,AMOH
150,JAFFNA,KANKASANTHURAI PMCU,MO,1,NO,MO
154,JAFFNA,POINT PEDRO BH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
155,JAFFNA,POINT PEDRO BH,MO BLOOD BANK,1,NO,MO Blood Bank
156,JAFFNA,POINT PEDRO BH,MO ICU,1,NO,MO Anaesthesia / ICU
157,JAFFNA,POINT PEDRO BH,MO MEDICINE,1,NO,MO Medicine
158,JAFFNA,POINT PEDRO BH,MO SURGERY,1,NO,MO Surgery
159,JAFFNA,POINT PEDRO PMCU,MOIC,1,NO,MOIC
163,JAFFNA,THOLPURAM PMCU,,1,NO,MO
174,KALMUNAI,POTTUVIL BH,MO ETU,2,NO,MO OPD / ETU
175,KALMUNAI,POTTUVIL BH,MO OPD,1,NO,MO OPD / ETU
